"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
1376,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",90,500,"8/20/14 12:38",0,6727
1377,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",80,200,"8/20/14 12:38",0,6727
1381,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",95,750,"8/20/14 12:39",0,6727
1390,"1394 - Before 31 December 2014, will China *seize control of Second Thomas Shoal?","Yes","sell",33,25,"8/20/14 12:39",0,14473
1405,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",50,50,"8/20/14 12:40",50,1425
1420,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",60,50,"8/20/14 12:42",0,21627
1430,"1414 - On 15 September 2014, will the Arctic sea ice extent be less than that of 15 September 2013?","Yes","sell",40,25,"8/20/14 12:43",25,1425
1475,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",50,100,"8/20/14 12:47",0,6727
1477,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",25,50,"8/20/14 12:48",0,6727
1479,"1410 - Will an independence referendum *pass in Scotland?","Yes","buy",50,100,"8/20/14 12:48",0,21805
1481,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",37,75,"8/20/14 12:48",0,6727
1482,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",15,25,"8/20/14 12:48",0,6727
1483,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",20,37,"8/20/14 12:48",0,6727
1484,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",10,12,"8/20/14 12:48",0,6727
1487,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",70,10,"8/20/14 12:49",0,21832
1489,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",9,6,"8/20/14 12:49",0,6727
1491,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",8,3,"8/20/14 12:49",0,6727
1492,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",6,2,"8/20/14 12:49",0,6727
1493,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","sell",5,1,"8/20/14 12:49",0,6727
1494,"1399 - Will a referendum on Quebec's affiliation with Canada be held before 31 December 2014?","If Parti Quebecois does not hold a majority of seats in the Quebec provincial legislature beforehand","buy",1,10,"8/20/14 12:50",0,6727
1496,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","buy",10,25,"8/20/14 12:50",0,14473
1497,"1413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 1 January 2015?","Yes","sell",33,25,"8/20/14 12:50",25,14473
1498,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",10,50,"8/20/14 12:51",50,6727
1499,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",90,100,"8/20/14 12:51",0,21867
1500,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",5,25,"8/20/14 12:51",25,6727
1501,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",1,100,"8/20/14 12:51",0,6727
1502,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","buy",2,50,"8/20/14 12:51",0,6727
1504,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",4,12,"8/20/14 12:51",12,6727
1506,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",3,6,"8/20/14 12:51",6,6727
1508,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",30,200,"8/20/14 12:52",0,6727
1511,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",90,500,"8/20/14 12:52",0,6727
1513,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",66,25,"8/20/14 12:52",25,14473
1515,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",95,800,"8/20/14 12:52",0,6727
1516,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",33,25,"8/20/14 12:52",0,14473
1517,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",99,1000,"8/20/14 12:52",0,6727
1519,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",80,400,"8/20/14 12:52",0,6727
1522,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",55,300,"8/20/14 12:53",0,6727
